ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11664485,JC235668,04/22/2019 10:00:00 PM,006XX S STATE ST,0460,BATTERY,SIMPLE,CTA PLATFORM,False,False,123,1.0,4.0,32.0,08B,1176452.0,1897617.0,2019,04/29/2019 04:18:19 PM,41.8744151,-87.627609439,"(41.8744151, -87.627609439)",48.0,14913.0,38.0,92.0,10.0,35.0,22.0,144.0
11663790,JC234766,04/22/2019 10:00:00 PM,007XX E 100TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,511,5.0,8.0,50.0,14,1183410.0,1838491.0,2019,04/29/2019 04:18:19 PM,41.712008554,-87.603905054,"(41.712008554, -87.603905054)",9.0,21861.0,47.0,643.0,35.0,19.0,10.0,250.0
11665483,JC236553,04/22/2019 10:00:00 PM,048XX W MONROE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1533,15.0,28.0,25.0,08B,1144208.0,1899225.0,2019,04/29/2019 04:18:19 PM,41.879494129,-87.74595537299999,"(41.879494129, -87.745955373)",11.0,22216.0,26.0,69.0,23.0,32.0,25.0,137.0
11664621,JC235792,04/22/2019 10:00:00 PM,032XX W MONTROSE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,SMALL RETAIL STORE,False,False,1724,17.0,33.0,14.0,26,1154153.0,1929065.0,2019,04/29/2019 04:18:19 PM,41.961184999000004,-87.708640455,"(41.961184999, -87.708640455)",2.0,21538.0,14.0,24.0,20.0,20.0,1.0,13.0
11663764,JC234671,04/22/2019 10:00:00 PM,016XX W WARREN BLVD,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False,1224,12.0,27.0,28.0,06,1165514.0,1900428.0,2019,04/29/2019 04:18:19 PM,41.882368475,-87.667688654,"(41.882368475, -87.667688654)",41.0,21184.0,29.0,90.0,46.0,28.0,15.0,92.0
11664273,JC234941,04/22/2019 10:00:00 PM,017XX W 81ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,611,6.0,21.0,71.0,14,1165988.0,1850978.0,2019,04/29/2019 04:18:19 PM,41.746662078,-87.667355372,"(41.746662078, -87.667355372)",6.0,21554.0,70.0,574.0,13.0,59.0,20.0,237.0
11663685,JC234561,04/22/2019 10:00:00 PM,042XX S MICHIGAN AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,213,2.0,3.0,38.0,08A,1177865.0,1876850.0,2019,04/29/2019 04:18:19 PM,41.817396985,-87.62305220100001,"(41.817396985, -87.623052201)",12.0,4301.0,4.0,163.0,9.0,36.0,24.0,102.0
11665226,JC235002,04/22/2019 10:00:00 PM,084XX S SCOTTSDALE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,834,8.0,18.0,70.0,26,,,2019,04/29/2019 04:18:19 PM,,,,,,,,,,,
11663556,JC234536,04/22/2019 09:57:00 PM,063XX S MORGAN ST,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,True,False,723,7.0,16.0,68.0,18,1170733.0,1862772.0,2019,04/29/2019 04:18:19 PM,41.778924210999996,-87.64962502700001,"(41.778924211, -87.649625027)",19.0,21559.0,66.0,436.0,2.0,11.0,17.0,203.0
11664096,JC235103,04/22/2019 09:55:00 PM,004XX W DIVISION ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1821,18.0,27.0,8.0,06,1173175.0,1908290.0,2019,04/29/2019 04:18:19 PM,41.903775756,-87.639324074,"(41.903775756, -87.639324074)",41.0,14926.0,37.0,148.0,46.0,54.0,14.0,51.0
11663707,JC234517,04/22/2019 09:51:00 PM,071XX S SEELEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,735,7.0,17.0,67.0,14,1163928.0,1857284.0,2019,04/29/2019 04:18:19 PM,41.764010154,-87.67472685700001,"(41.764010154, -87.674726857)",17.0,22257.0,65.0,433.0,31.0,23.0,17.0,7.0
11663534,JC234524,04/22/2019 09:50:00 PM,012XX S SACRAMENTO DR,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,1022,10.0,24.0,29.0,18,1156545.0,1894504.0,2019,04/29/2019 04:18:19 PM,41.866298596,-87.700783285,"(41.866298596, -87.700783285)",36.0,21569.0,30.0,132.0,14.0,57.0,21.0,152.0
11663616,JC234585,04/22/2019 09:50:00 PM,086XX S MARYLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,True,632,6.0,8.0,44.0,08B,1183403.0,1847891.0,2019,04/29/2019 04:18:19 PM,41.73780342,-87.60363888,"(41.73780342, -87.60363888)",9.0,21546.0,40.0,141.0,35.0,61.0,20.0,241.0
11663627,JC234599,04/22/2019 09:50:00 PM,035XX W 24TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,False,1024,10.0,22.0,30.0,08B,1152946.0,1887824.0,2019,04/29/2019 04:18:19 PM,41.84803991,-87.71417245100001,"(41.84803991, -87.714172451)",14.0,21569.0,32.0,755.0,28.0,57.0,21.0,130.0
11664428,JC235644,04/22/2019 09:45:00 PM,017XX N TRIPP AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,False,2534,25.0,26.0,20.0,07,1147784.0,1911180.0,2019,04/29/2019 04:18:19 PM,41.912232021,-87.732517316,"(41.912232021, -87.732517316)",27.0,22615.0,24.0,285.0,49.0,2.0,6.0,194.0
11664468,JC235692,04/22/2019 09:45:00 PM,002XX E ONTARIO ST,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,False,False,1834,18.0,42.0,8.0,06,1177988.0,1904540.0,2019,04/29/2019 04:18:19 PM,41.893377378000004,-87.621759238,"(41.893377378, -87.621759238)",22.0,21182.0,37.0,158.0,36.0,6.0,14.0,74.0
11663873,JC234853,04/22/2019 09:40:00 PM,058XX S SANGAMON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,712,7.0,16.0,68.0,07,1170978.0,1865960.0,2019,04/29/2019 04:18:19 PM,41.787667103000004,-87.64863377,"(41.787667103, -87.64863377)",19.0,21559.0,66.0,113.0,2.0,11.0,17.0,261.0
